SPOT_ETHBTC,ETH-BTC
SPOT_LTCBTC,LTC-BTC
SPOT_NEOBTC,NEO-BTC
SPOT_EOSETH,EOS-ETH
SPOT_BTCUSDT,BTC-USDT
SPOT_ETHUSDT,ETH-USDT
SPOT_QTUMBTC,QTUM-BTC
SPOT_KNCBTC,KNC-BTC
SPOT_LINKBTC,LINK-BTC
SPOT_LINKETH,LINK-ETH
SPOT_EOSBTC,EOS-BTC
SPOT_ETCBTC,ETC-BTC
SPOT_ZECBTC,ZEC-BTC
SPOT_DASHBTC,DASH-BTC
SPOT_TRXBTC,TRX-BTC
SPOT_TRXETH,TRX-ETH
SPOT_XRPBTC,XRP-BTC
SPOT_XRPETH,XRP-ETH
SPOT_BNBUSDT,BNB-USDT
SPOT_XMRBTC,XMR-BTC
SPOT_XMRETH,XMR-ETH
SPOT_NEOUSDT,NEO-USDT
SPOT_MANABTC,MANA-BTC
SPOT_ADABTC,ADA-BTC
SPOT_ADAETH,ADA-ETH
SPOT_XLMBTC,XLM-BTC
SPOT_XLMETH,XLM-ETH
SPOT_LTCETH,LTC-ETH
SPOT_LTCUSDT,LTC-USDT
SPOT_QTUMUSDT,QTUM-USDT
SPOT_ADAUSDT,ADA-USDT
SPOT_XRPUSDT,XRP-USDT
SPOT_ZENBTC,ZEN-BTC
SPOT_EOSUSDT,EOS-USDT
SPOT_IOTAUSDT,IOTA-USDT
SPOT_XLMUSDT,XLM-USDT
SPOT_ONTUSDT,ONT-USDT
SPOT_TRXUSDT,TRX-USDT
SPOT_ETCUSDT,ETC-USDT
SPOT_ICXUSDT,ICX-USDT
SPOT_NULSUSDT,NULS-USDT
SPOT_BNBUSDC,BNB-USDC
SPOT_BTCUSDC,BTC-USDC
SPOT_ETHUSDC,ETH-USDC
SPOT_USDCUSDT,USDC-USDT
SPOT_LINKUSDT,LINK-USDT
SPOT_WAVESUSDT,WAVES-USDT
SPOT_ZILUSDT,ZIL-USDT
SPOT_ZRXUSDT,ZRX-USDT
SPOT_BATUSDT,BAT-USDT
SPOT_XMRUSDT,XMR-USDT
SPOT_ZECUSDT,ZEC-USDT
SPOT_IOSTUSDT,IOST-USDT
SPOT_CELRUSDT,CELR-USDT
SPOT_DASHUSDT,DASH-USDT
SPOT_OMGUSDT,OMG-USDT
SPOT_THETAUSDT,THETA-USDT
SPOT_ENJUSDT,ENJ-USDT
SPOT_MATICBTC,MATIC-BTC
SPOT_MATICUSDT,MATIC-USDT
SPOT_ATOMBTC,ATOM-BTC
SPOT_ATOMUSDT,ATOM-USDT
SPOT_ONEUSDT,ONE-USDT
SPOT_FTMUSDT,FTM-USDT
SPOT_ALGOBTC,ALGO-BTC
SPOT_ALGOUSDT,ALGO-USDT
SPOT_DOGEBTC,DOGE-BTC
SPOT_DOGEUSDT,DOGE-USDT
SPOT_WINUSDT,WIN-USDT
SPOT_CVCUSDT,CVC-USDT
SPOT_CHZBTC,CHZ-BTC
SPOT_CHZUSDT,CHZ-USDT
SPOT_BANDUSDT,BAND-USDT
SPOT_XTZUSDT,XTZ-USDT
SPOT_RENUSDT,REN-USDT
SPOT_RVNUSDT,RVN-USDT
SPOT_HBARBTC,HBAR-BTC
SPOT_HBARUSDT,HBAR-USDT
SPOT_STXBTC,STX-BTC
SPOT_STXUSDT,STX-USDT
SPOT_CTXCUSDT,CTXC-USDT
SPOT_BCHBTC,BCH-BTC
SPOT_BCHUSDT,BCH-USDT
SPOT_LSKUSDT,LSK-USDT
SPOT_BNTUSDT,BNT-USDT
SPOT_SOLBTC,SOL-BTC
SPOT_SOLUSDT,SOL-USDT
SPOT_MDTUSDT,MDT-USDT
SPOT_KNCUSDT,KNC-USDT
SPOT_LRCUSDT,LRC-USDT
SPOT_COMPBTC,COMP-BTC
SPOT_COMPUSDT,COMP-USDT
